"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000260179.1",148.942390525464,-0.695060128481989,0.17420220261419,7.96433876104032e-06,8.0437710329778e-05
"ENSG00000189409.14",101.711983705669,-0.723587010735728,0.210156382005248,6.08615968125206e-05,0.000512464732718907
"ENSG00000215914.4",73.6031904813236,-0.729879524727367,0.248320162492237,0.000322932570944417,0.00226456084005189
"ENSG00000162591.17",407.948242622424,1.25741308450612,0.142327189787327,7.79224345484233e-20,4.08102015029294e-18
"ENSG00000226374.3",12.9912653242878,1.44270967235299,0.701846228753455,0.00171604305205046,0.00961520372602022
"ENSG00000131697.18",1116.1606337964,0.643450692016162,0.0917146888282724,3.65371555534187e-13,1.01706761499886e-11
"ENSG00000158292.7",880.999373088214,0.885471631544219,0.0869670596403762,2.73129754550708e-25,2.07612669537659e-23
"ENSG00000187017.18",53.4279179244572,0.841170561848932,0.300808673613201,0.000418805731585304,0.0028355436482567
"ENSG00000215788.11",413.994391936188,0.955379878086591,0.122222505942657,5.72394104559659e-16,2.03346674837797e-14
"ENSG00000171680.23",1193.51525363595,0.922474722195903,0.0933207817725562,4.84707891712032e-24,3.34262019169105e-22
"ENSG00000171735.20",1315.37063138123,0.67006087775681,0.079454253492117,4.64282673069462e-18,2.04801738897688e-16
"ENSG00000049245.13",2145.85065097877,0.642450010057987,0.0800356401413594,1.46986447763297e-16,5.56558250220254e-15
"ENSG00000049246.15",4031.69760517407,0.979725065674855,0.0674597243725769,7.24485686449095e-49,1.57736058633249e-46
"ENSG00000236266.1",56.040689493092,0.83308868128008,0.284039124573965,0.000284923684104099,0.00202820149817306
"ENSG00000049249.10",774.068177762577,1.13224495508692,0.0901531230331943,2.60846161011715e-37,3.61402356081731e-35
"ENSG00000162426.16",49.9291831398188,0.983119223289838,0.316298560143966,0.000130450426566878,0.00102533766172899
"ENSG00000228526.8",1206.82371725726,0.873656659594564,0.092906155570803,6.03667638326218e-22,3.61500850369773e-20
"ENSG00000171621.14",1896.75762811501,1.19702697920179,0.0738165456066784,2.50447994012843e-60,8.29772315815813e-58
"ENSG00000284693.2",55.2357512076766,0.791606936791794,0.291997240463464,0.000592948936125355,0.00383811351073199
"ENSG00000171608.18",2673.72276313664,0.670915423272901,0.0749941500336127,5.28364087692524e-20,2.79601836058261e-18
"ENSG00000178585.15",1870.43383430515,0.723672487796584,0.0791558177127868,7.72508327974852e-21,4.3284607251841e-19
"ENSG00000199562.1",60.7962586334479,0.621057672989384,0.28418629775352,0.00304802443190275,0.0157870573846776
"ENSG00000116661.11",382.738712072004,1.1771114690695,0.127961124026068,2.90222071142194e-21,1.66596213756784e-19
"ENSG00000132879.14",2175.07555160437,0.730999613620134,0.0744784175498902,1.26782770723403e-23,8.49333106465947e-22
"ENSG00000120949.15",126.027830772872,1.61824713005853,0.194404611089295,6.02350635629107e-18,2.62429443458956e-16
"ENSG00000116726.5",14.0826967426767,1.46764879990868,0.712583858711261,0.00155059716296379,0.00880636335463003
"ENSG00000229571.7",12.5603698372393,1.59145558984974,0.747937273044059,0.0012105432209633,0.00713291473384541
"ENSG00000280267.6",12.7011597338667,1.62124060640426,0.742572057379516,0.00106654386539855,0.00636971868019558
"ENSG00000204505.5",10.0611572732268,1.3885910653611,0.830698704956493,0.0034335195584265,0.0174573994429355
"ENSG00000162494.6",43.7183208840744,1.4692755478386,0.362734406469545,2.56731971165634e-06,2.86751455225346e-05
"ENSG00000162493.17",1368.04302204628,0.963746472140393,0.0830106554952335,3.07319602668174e-32,3.52158225899572e-30
"ENSG00000233421.5",38.6202933285347,-0.712936135142788,0.381306269612633,0.00459006160764142,0.0222715166925371
"ENSG00000280114.1",135.881578844159,0.626652451539584,0.206059623674106,0.000307276493214407,0.00216807749760842
"ENSG00000268869.6",265.376014107288,0.713259352699144,0.147259171440861,1.60871017754062e-07,2.22280575347305e-06
"ENSG00000159339.13",47.4313953415774,1.12624645101963,0.307411160928367,1.60785940422754e-05,0.000153345314456381
"ENSG00000159423.17",1481.05032164806,0.67525164730644,0.0987655812400891,1.11444186346905e-12,2.96416251661433e-11
"ENSG00000286064.1",76.2461778680392,-0.642282020668733,0.240343633565616,0.00086177262040728,0.00530982236560224
"ENSG00000158748.4",32.5162039198305,-0.797337793438264,0.397722591115973,0.00306923106285095,0.0158780095089545
"ENSG00000158825.6",1320.2773556161,0.664103649812455,0.0914877143760223,5.39813486016587e-14,1.64376172500216e-12
