"","Hela_KO_1","Hela_KO_2","Hela_KO_3","Hela_WT_1","Hela_WT_2","Hela_WT_3","U2OS_KO_1","U2OS_KO_2","U2OS_KO_3","U2OS_WT_1","U2OS_WT_2","U2OS_WT_3"
"ENSG00000223972.5",142,147,141,206,190,195,184,383,229,250,314,267
"ENSG00000227232.5",2885,2529,2968,4031,3659,3776,2615,5551,3703,4248,4900,3260
"ENSG00000278267.1",50,47,34,109,69,76,24,77,37,63,53,35
"ENSG00000243485.5",37,19,32,35,26,21,35,63,69,40,39,34
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",5,0,3,7,3,1,3,19,19,11,20,9
"ENSG00000268020.3",0,0,0,0,0,0,0,3,1,2,2,0
"ENSG00000240361.2",0,0,0,0,0,1,0,0,2,1,2,4
"ENSG00000186092.7",1,0,0,3,0,1,1,5,0,1,3,1
"ENSG00000238009.6",80,97,115,152,122,112,85,201,155,131,104,92
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",237,229,196,679,573,558,286,755,533,484,610,346
"ENSG00000268903.1",352,308,341,524,416,455,437,1051,638,752,863,629
"ENSG00000269981.1",159,109,137,119,183,203,172,475,287,300,321,286
"ENSG00000239906.1",75,66,73,79,85,94,77,220,136,188,204,123
"ENSG00000241860.7",967,792,917,903,1259,1111,1155,2686,1886,2250,2293,1663
"ENSG00000222623.1",5,5,3,1,4,4,0,14,4,4,2,5
"ENSG00000241599.1",12,16,15,11,18,13,9,19,10,17,8,14
"ENSG00000279928.2",64,52,54,79,96,76,96,225,116,138,163,140
"ENSG00000279457.4",2775,2536,2886,4296,3605,3699,3114,6403,4403,4946,5793,3624
"ENSG00000273874.1",37,35,31,77,51,62,26,57,34,56,32,22
"ENSG00000228463.10",348,360,373,340,423,367,473,907,600,671,656,515
"ENSG00000286448.1",1,1,0,0,2,0,0,3,3,1,0,4
"ENSG00000236679.2",71,65,64,84,76,70,56,93,49,109,80,64
"ENSG00000236601.2",2,3,4,3,3,3,1,2,1,1,1,1
"ENSG00000237094.12",1806,1346,1525,1479,2105,2147,2480,6136,3613,4045,4322,3462
"ENSG00000269732.1",0,2,0,0,0,0,0,1,0,1,2,2
"ENSG00000284733.2",5,1,1,0,2,4,3,2,4,2,3,5
"ENSG00000233653.3",158,156,143,443,373,376,175,558,408,385,479,227
"ENSG00000250575.1",699,581,633,750,846,865,929,2471,1471,1734,1906,1389
"ENSG00000278757.1",1,3,2,1,1,2,0,8,3,3,0,3
"ENSG00000230021.10",658,498,513,531,838,966,623,1387,826,839,994,741
"ENSG00000235146.2",1,0,0,1,0,0,0,0,0,1,1,0
"ENSG00000225972.1",7919,4354,4347,2541,5159,5004,6361,12932,6868,6619,6234,6970
"ENSG00000225630.1",57336,42671,48834,28897,60788,56591,34806,77793,53602,54888,58003,61762
"ENSG00000237973.1",153242,112247,134405,79754,139308,124264,91260,184913,125862,123177,137692,127846
"ENSG00000278791.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229344.1",7530,4049,4276,1998,4024,3863,5576,10032,4683,5411,4851,6616
"ENSG00000240409.1",527,175,262,345,220,194,230,566,177,219,222,286
"ENSG00000248527.1",86986,61631,71343,72421,78566,75494,39791,87224,58756,66210,68712,71758
"ENSG00000198744.5",16056,11829,15410,6737,16548,15021,9694,20949,11660,12733,13662,15515
"ENSG00000268663.1",0,2,0,0,0,0,0,1,0,1,2,3
"ENSG00000284662.2",5,1,1,0,2,4,3,2,4,2,3,5
"ENSG00000229376.3",165,170,160,468,380,373,178,530,379,375,419,220
"ENSG00000228327.5",4069,3242,3847,4252,5500,5320,3879,10509,6028,6909,7276,5488
"ENSG00000223181.1",4,7,4,2,5,7,2,5,4,4,4,2
"ENSG00000229905.1",20,20,15,25,41,29,14,33,20,37,32,18
"ENSG00000237491.10",470,373,443,309,398,369,122,286,189,199,215,184
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092.7",13,21,16,15,31,13,13,21,24,22,22,25
"ENSG00000177757.2",53,34,48,57,56,74,20,51,32,27,34,21
"ENSG00000225880.6",250,200,255,378,239,260,68,198,117,101,123,107
"ENSG00000228794.12",1164,936,1147,1572,1528,1524,1244,2851,2005,1849,2011,1615
"ENSG00000288531.1",3,1,2,2,7,5,1,8,5,1,1,3
